,t,x,y
0,0.0,5.903610611363123,0.2
1,0.01,5.885619666006527,0.19800996674983362
2,0.02,5.970875699180841,0.19603973466135105
3,0.03,5.956972495098197,0.19408910670970164
4,0.04,5.902178961978845,0.19215788783046464
5,0.05,5.730047350094198,0.19024588490014283
6,0.06,5.653858830930417,0.18835290671684976
7,0.07,5.691730893172877,0.18647876398118968
8,0.08,5.499691795959717,0.18462326927732717
9,0.09,5.4475766406418344,0.18278623705424565
10,0.1,5.246671500760473,0.18096748360719192
11,0.11,5.215966146686263,0.17916682705930564
12,0.12,5.079057741998348,0.1773840873434315
13,0.13,4.892020938373035,0.17561908618411226
14,0.14,4.791751708268366,0.1738716470797612
15,0.15,4.753780621026251,0.17214159528501158
16,0.16,4.640222644637997,0.1704287577932423
17,0.17,4.428990533288212,0.16873296331927676
18,0.18,4.297403895252975,0.1670540422822544
19,0.19,4.173833957813744,0.16539182678867248
20,0.2,4.002201722944988,0.1637461506155964
21,0.21,3.692785664113526,0.16211684919403743
22,0.22,3.6374292018085375,0.16050375959249572
23,0.23,3.326370329693851,0.15890672050066681
24,0.24,3.176178973709595,0.1573255722133107
25,0.25,2.9641145025672784,0.155760156614281
26,0.26,2.84297072500176,0.15421031716071326
27,0.27,2.5440620211983815,0.15267589886737065
28,0.28,2.3107785734589124,0.15115674829114512
29,0.29,2.186727571036905,0.14965271351571305
30,0.3,1.9188104920781168,0.1481636441363436
31,0.31,1.7021322083272377,0.14668939124485786
32,0.32,1.4489846531214288,0.1452298074147382
33,0.33,1.3205268808343413,0.14378474668638525
34,0.34,1.0731012366979866,0.14235406455252195
35,0.35000000000000003,0.8573045974365362,0.14093761794374268
36,0.36,0.7772581979771865,0.1395352652142062
37,0.37,0.4294014651469291,0.13814686612747093
38,0.38,0.17771438493355216,0.13677228184247117
39,0.39,0.0779594351756708,0.13541137489963292
40,0.4,-0.07699788955077651,0.13406400920712788
41,0.41000000000000003,-0.2863937627272598,0.13273005002726387
42,0.42,-0.6215893155506534,0.13140936396301137
43,0.43,-0.862206886416181,0.1301018189446633
44,0.44,-0.9904773144581297,0.1288072842166283
45,0.45,-1.2002203012362849,0.12752563032435468
46,0.46,-1.290271992323729,0.1262567291013852
47,0.47000000000000003,-1.601635039483044,0.12500045365654017
48,0.48,-1.8120491354624868,0.12375667836122817
49,0.49,-1.888244004616048,0.12252527883688323
50,0.5,-2.0450152788889735,0.1213061319425267
51,0.51,-2.3263083609732247,0.12009911576245319
52,0.52,-2.432555769662413,0.11890410959403888
53,0.53,-2.7140090929699165,0.11772099393567104
54,0.54,-2.739768862699952,0.11654965047479793
55,0.55,-2.955538017146303,0.11538996207609734
56,0.56,-3.023970666474065,0.11424181276976297
57,0.5700000000000001,-3.169272901331128,0.11310508773990742
58,0.58,-3.402684235581024,0.11197967331308041
59,0.59,-3.4139459578941205,0.11086545694690142
60,0.6,-3.570398127242112,0.10976232721880529
61,0.61,-3.6941935420853698,0.10867017381489996
62,0.62,-3.815146184289079,0.1075888875189349
63,0.63,-3.985414969850684,0.10651836020137945
64,0.64,-4.11555648714134,0.10545848480860971
65,0.65,-4.15926944198224,0.10440915535220321
66,0.66,-4.185381736534418,0.10337026689833984
67,0.67,-4.238179455990303,0.10234171555730849
68,0.68,-4.3404808751971995,0.10132339847311791
69,0.6900000000000001,-4.445791074649976,0.1003152138132111
70,0.7000000000000001,-4.545267825239482,0.0993170607582819
71,0.71,-4.512709014951008,0.09832883949219302
72,0.72,-4.543837973386969,0.09735045119199434
73,0.73,-4.587278669376516,0.09638179801804049
74,0.74,-4.679909948861183,0.09542278310420688
75,0.75,-4.652134405415528,0.09447331054820295
76,0.76,-4.569117824964808,0.09353328540198186
77,0.77,-4.672925611731763,0.09260261366224562
78,0.78,-4.648517581426821,0.0916812022610447
79,0.79,-4.564590904626486,0.09076895905647117
80,0.8,-4.51514755523192,0.08986579282344431
81,0.81,-4.469098834958499,0.08897161324458823
82,0.8200000000000001,-4.455503918994952,0.08808633090119986
83,0.8300000000000001,-4.552388026778439,0.08720985726430712
84,0.84,-4.502226297833949,0.08634210468581595
85,0.85,-4.423792647004872,0.08548298638974534
86,0.86,-4.294709040761194,0.08463241646354977
87,0.87,-4.249212928700352,0.0837903098495278
88,0.88,-4.249393655471226,0.08295658233631628
89,0.89,-4.060428625636276,0.0821311505504691
90,0.9,-3.9993038706510373,0.08131393194811982
91,0.91,-3.8659520223812684,0.0805048448067272
92,0.92,-3.7498854066171505,0.07970380821690283
93,0.93,-3.669830695788506,0.07891074207432022
94,0.9400000000000001,-3.4781608655589236,0.07812556707170422
95,0.9500000000000001,-3.3770045470912944,0.07734820469090024
96,0.96,-3.312764064955545,0.07657857719502242
97,0.97,-3.121895926006265,0.07581660762067977
98,0.98,-3.0599099998245674,0.07506221977027992
99,0.99,-3.0191606107842714,0.07431533820440915
100,1.0,-2.7328184489939495,0.07357588823428847
101,1.01,-2.6384599529491775,0.07284379591430466
102,1.02,-2.538679500374152,0.07211898803461567
103,1.03,-2.4218551581574657,0.07140139211382948
