,t,x
0,0.0,1.0
1,0.01,0.9942165753383323
2,0.02,0.9868833636057954
3,0.03,0.978027640920673
4,0.04,0.9676788734170216
5,0.05,0.9558686478162504
6,0.06,0.9426305992612053
7,0.07,0.9280003365566699
8,0.08,0.9120153649629493
9,0.09,0.8947150066917025
10,0.1,0.87614031925542
11,0.11,0.8563340118239076
12,0.12,0.8353403597428293
13,0.13,0.8132051173707945
14,0.14,0.7899754293926373
15,0.15,0.765699740767425
16,0.16,0.7404277054703678
17,0.17,0.7142100941881667
18,0.18,0.6870987011274382
19,0.19,0.6591462500957035
20,0.2,0.6304063000140189
21,0.21,0.6009331500196555
22,0.22,0.5707817443163287
23,0.23,0.5400075769283159
24,0.24,0.5086665965134014
25,0.25,0.476815111387948
26,0.26,0.44450969491553394
27,0.27,0.4118070914084891
28,0.28,0.37876412268935744
29,0.29,0.34543759545677877
30,0.3,0.3118842095975457
31,0.31,0.27816046758365276
32,0.32,0.24432258509001614
33,0.33,0.21042640296522194
34,0.34,0.17652730068415623
35,0.35000000000000003,0.1426801114076903
36,0.36,0.10893903877075299
37,0.37,0.07535757551611898
38,0.38,0.04198842408709293
39,0.39,0.008883419287972196
40,0.4,-0.023906546883251518
41,0.41000000000000003,-0.056331598130044236
42,0.42,-0.08834294438509553
43,0.43,-0.11989294988023379
44,0.44,-0.15093519867289687
45,0.45,-0.18142455754853384
46,0.46,-0.2113172362233518
47,0.47000000000000003,-0.24057084477694207
48,0.48,-0.26914444824949846
49,0.49,-0.29699861834357444
50,0.5,-0.3240954821756024
51,0.51,-0.3503987680277174
52,0.52,-0.3758738480557642
53,0.53,-0.4004877779147301
54,0.54,-0.4242093332682137
55,0.55,-0.44700904315390916
56,0.56,-0.46885922018244824
57,0.5700000000000001,-0.48973398755228714
58,0.58,-0.5096093028686429
59,0.59,-0.5284629787597755
60,0.6,-0.5462747002891463
61,0.61,-0.5630260391671918
62,0.62,-0.5787004647715766
63,0.63,-0.5932833519898651
64,0.64,-0.6067619859035546
65,0.65,-0.6191255633373198
66,0.66,-0.6303651913021623
67,0.67,-0.6404738823658834
68,0.68,-0.6494465469889407
69,0.6900000000000001,-0.6572799828682727
70,0.7000000000000001,-0.6639728613360917
71,0.71,-0.6695257108649353
72,0.72,-0.6739408977344398
73,0.73,-0.6772226039193293
74,0.74,-0.6793768022620196
75,0.75,-0.6804112289969941
76,0.76,-0.6803353536977207
77,0.77,-0.6791603467203406
78,0.78,-0.6768990442216728
79,0.79,-0.6735659108322233
80,0.8,-0.6691770000678772
81,0.81,-0.6637499125667777
82,0.8200000000000001,-0.6573037522405498
83,0.8300000000000001,-0.6498590804315069
84,0.84,-0.6414378681698006
85,0.85,-0.632063446626599
86,0.86,-0.621760455861348
87,0.87,-0.6105547919629492
88,0.88,-0.5984735526862878
89,0.89,-0.5855449816869761
90,0.9,-0.5717984114584108
91,0.91,-0.5572642050763091
92,0.92,-0.5419736968567743
93,0.93,-0.525959132034633
94,0.9400000000000001,-0.5092536055693178
95,0.9500000000000001,-0.4918910001859046
96,0.96,-0.47390592375908697
97,0.97,-0.45533364614784944
98,0.98,-0.4362100355884317
99,0.99,-0.41657149475280436
100,1.0,-0.396454896579361
101,1.01,-0.3758975199818335
102,1.02,-0.35493698554158165
103,1.03,-0.33361119128738614
104,1.04,-0.311958248665699
105,1.05,-0.29001641880297147
106,1.06,-0.26782404916019875
107,1.07,-0.2454195106781849
108,1.08,-0.22284113551026474
109,1.09,-0.20012715543730214
110,1.1,-0.1773156410577398
111,1.11,-0.1544444418432992
